champ,kills,deaths,assists,date,outcome
Lulu,1,8,6,Sat Mar 25 02:16:11 PDT 2017,0
Lulu,1,6,4,Sat Mar 25 01:41:40 PDT 2017,0
Bard,1,6,19,Sun Feb 12 03:04:41 PST 2017,0
Amumu,1,6,13,Fri Oct 28 22:21:09 PDT 2016,0
Amumu,8,5,16,Sun Oct 23 01:57:21 PDT 2016,0
Bard,2,7,15,Sun Sep 25 02:03:23 PDT 2016,0
Bard,1,7,16,Tue Sep 20 16:37:13 PDT 2016,0
Bard,2,1,1,Sun Sep 18 12:58:26 PDT 2016,1
Bard,2,6,20,Sun Sep 18 02:50:06 PDT 2016,0
Malphite,7,9,14,Sun Sep 18 01:37:16 PDT 2016,1
Bard,5,10,24,Sat Sep 17 19:44:23 PDT 2016,0
Bard,0,7,24,Fri Sep 16 00:51:13 PDT 2016,1
Ezreal,9,4,9,Thu Sep 15 23:32:07 PDT 2016,1
Lucian,7,5,14,Thu Sep 15 22:13:10 PDT 2016,1
Bard,4,2,12,Thu Sep 15 21:24:29 PDT 2016,0
Bard,4,8,26,Thu Sep 15 15:21:00 PDT 2016,1
Bard,2,8,9,Thu Sep 15 00:02:50 PDT 2016,0
Bard,0,3,5,Wed Sep 14 12:31:44 PDT 2016,1
Lucian,1,6,2,Wed Sep 14 11:44:37 PDT 2016,0
Bard,1,5,7,Wed Sep 14 01:34:34 PDT 2016,0
Lucian,2,8,6,Wed Sep 14 00:57:59 PDT 2016,0
Lucian,5,4,5,Wed Sep 14 00:09:22 PDT 2016,0
Malphite,1,6,5,Tue Sep 13 22:36:02 PDT 2016,0
Orianna,2,6,4,Tue Sep 13 21:43:09 PDT 2016,0
Orianna,4,7,9,Tue Sep 13 17:00:30 PDT 2016,0
Ezreal,11,6,3,Tue Sep 13 16:05:32 PDT 2016,0
Lucian,4,7,5,Tue Sep 13 15:08:21 PDT 2016,0
Orianna,6,3,8,Tue Sep 13 13:34:19 PDT 2016,1
Lucian,6,5,7,Tue Sep 13 12:55:59 PDT 2016,0
Lucian,11,8,17,Tue Sep 13 12:05:06 PDT 2016,0
Ezreal,5,4,13,Sun Sep 11 22:43:57 PDT 2016,1
Orianna,3,5,14,Sun Sep 11 22:05:39 PDT 2016,1
Bard,2,9,25,Sat Sep 10 00:23:58 PDT 2016,0
Bard,3,4,12,Fri Sep 09 15:52:04 PDT 2016,1
Orianna,3,3,10,Thu Sep 08 19:18:04 PDT 2016,1
Ezreal,8,6,11,Tue Sep 06 23:26:37 PDT 2016,1
Bard,2,3,18,Mon Sep 05 23:04:44 PDT 2016,0
Ezreal,5,6,5,Wed Jul 13 00:02:56 PDT 2016,0
Dr. Mundo,1,3,0,Mon Jul 11 23:56:46 PDT 2016,0
Malphite,4,4,5,Mon Jul 11 23:02:15 PDT 2016,0
Ezreal,1,4,10,Mon Jul 11 22:19:21 PDT 2016,1
Ezreal,11,6,8,Sat Jul 09 02:41:35 PDT 2016,0
Twisted Fate,4,6,1,Fri Jul 01 21:26:37 PDT 2016,0
Malphite,4,1,11,Mon Jun 13 01:07:02 PDT 2016,1
Ezreal,8,6,13,Sat Jun 11 01:10:39 PDT 2016,1
Ezreal,9,11,12,Fri Jun 10 13:30:46 PDT 2016,0
Malphite,4,11,19,Fri Jun 10 12:26:12 PDT 2016,0
Ezreal,4,4,11,Mon May 30 01:45:56 PDT 2016,1
Dr. Mundo,1,4,5,Mon May 30 00:49:11 PDT 2016,0
Gnar,7,6,2,Thu Mar 24 01:40:50 PDT 2016,0
Dr. Mundo,10,5,17,Tue Mar 22 02:25:09 PDT 2016,0
Gnar,1,5,2,Tue Mar 22 01:33:24 PDT 2016,0
Ashe,7,6,13,Mon Mar 21 22:35:02 PDT 2016,1
Ezreal,10,6,10,Mon Mar 21 02:41:56 PDT 2016,1
Ezreal,13,5,10,Sat Mar 05 03:28:34 PST 2016,1
Poppy,15,9,15,Sun Feb 21 21:00:11 PST 2016,1
Twisted Fate,6,7,5,Sun Feb 21 19:56:44 PST 2016,1
Alistar,0,7,14,Sun Feb 21 14:47:15 PST 2016,1
Syndra,11,4,5,Sat Feb 20 16:05:09 PST 2016,0
Syndra,17,5,22,Fri Feb 19 23:54:15 PST 2016,1
