champ,kills,deaths,assists,date,outcome
Jax,2,5,2,Sat Mar 25 17:15:31 PDT 2017,1
Galio,4,7,11,Sat Mar 25 16:34:05 PDT 2017,0
Rammus,4,0,6,Sat Mar 25 15:53:14 PDT 2017,1
Lux,8,13,3,Fri Dec 09 18:46:41 PST 2016,0
Twitch,5,6,1,Fri Dec 09 18:10:00 PST 2016,0
Karma,4,2,14,Tue Nov 15 15:02:51 PST 2016,1
Fiora,1,5,3,Tue Nov 15 14:17:35 PST 2016,0
Nasus,6,2,5,Sun Nov 13 20:39:10 PST 2016,0
Renekton,7,3,9,Sun Oct 30 22:38:06 PDT 2016,0
Bard,3,5,8,Fri Oct 28 22:21:09 PDT 2016,0
Zac,11,3,12,Wed Oct 26 16:19:08 PDT 2016,0
Pantheon,9,5,5,Wed Oct 26 14:48:36 PDT 2016,0
Zyra,5,10,12,Wed Oct 26 01:28:34 PDT 2016,0
Zyra,0,0,0,Wed Oct 26 01:04:37 PDT 2016,1
Skarner,4,2,20,Mon Oct 24 15:05:18 PDT 2016,1
Kindred,6,4,6,Sun Oct 23 22:22:41 PDT 2016,0
Riven,3,10,4,Sun Oct 23 21:39:22 PDT 2016,0
Vi,5,3,8,Sun Oct 23 20:30:04 PDT 2016,1
Olaf,7,7,20,Sun Oct 23 16:51:42 PDT 2016,1
Caitlyn,4,9,9,Sun Oct 23 01:57:21 PDT 2016,0
Jinx,2,4,2,Sat Oct 22 00:14:25 PDT 2016,0
Vi,3,7,3,Fri Oct 21 23:30:26 PDT 2016,0
Sivir,8,3,11,Fri Oct 21 22:39:58 PDT 2016,1
Evelynn,11,3,13,Fri Oct 21 20:16:26 PDT 2016,1
Miss Fortune,1,4,5,Fri Oct 21 19:42:13 PDT 2016,0
Miss Fortune,7,1,4,Thu Oct 20 02:21:01 PDT 2016,1
Nunu,4,5,29,Thu Oct 20 01:25:22 PDT 2016,0
Vi,5,7,16,Wed Oct 19 21:37:44 PDT 2016,1
Caitlyn,6,5,19,Mon Oct 17 00:11:56 PDT 2016,1
Jayce,3,3,1,Sun Oct 16 23:31:13 PDT 2016,0
Kennen,2,3,1,Sun Oct 16 22:56:19 PDT 2016,0
Gangplank,2,1,12,Sun Oct 16 21:26:31 PDT 2016,1
Vladimir,9,2,10,Sat Oct 15 14:14:21 PDT 2016,1
Sion,1,5,0,Sat Oct 15 13:27:12 PDT 2016,0
Syndra,0,7,0,Sat Oct 15 12:57:34 PDT 2016,0
Kennen,3,2,12,Fri Oct 14 21:15:45 PDT 2016,1
Irelia,1,4,4,Fri Oct 14 20:37:16 PDT 2016,0
Jayce,2,3,7,Fri Oct 14 19:43:07 PDT 2016,0
Jayce,6,2,6,Fri Oct 14 19:04:53 PDT 2016,1
Poppy,2,8,9,Fri Oct 14 16:35:07 PDT 2016,0
Riven,4,5,5,Thu Oct 13 01:15:36 PDT 2016,0
Poppy,1,6,11,Thu Oct 13 00:26:19 PDT 2016,0
Poppy,3,3,11,Wed Oct 12 17:29:56 PDT 2016,1
Skarner,2,1,4,Wed Oct 12 17:00:31 PDT 2016,1
Poppy,4,2,9,Wed Oct 12 16:15:49 PDT 2016,1
Poppy,7,2,14,Wed Oct 12 00:24:43 PDT 2016,1
Gangplank,1,5,7,Wed Sep 28 01:35:26 PDT 2016,0
Poppy,1,6,9,Sat Sep 24 02:33:31 PDT 2016,0
Gangplank,1,4,11,Sat Sep 24 01:33:48 PDT 2016,0
Gangplank,1,5,14,Sat Sep 24 00:38:38 PDT 2016,1
Gangplank,7,1,8,Fri Sep 23 23:56:15 PDT 2016,0
Trundle,3,7,13,Tue Sep 20 16:37:13 PDT 2016,0
Gangplank,6,8,16,Sat Sep 17 19:44:23 PDT 2016,0
Kled,9,6,22,Fri Sep 16 00:51:13 PDT 2016,1
Yasuo,8,7,3,Thu Sep 15 23:32:07 PDT 2016,1
Gangplank,4,4,24,Thu Sep 15 15:21:00 PDT 2016,1
Yorick,2,7,7,Thu Sep 15 00:02:50 PDT 2016,0
Yasuo,0,1,0,Wed Sep 14 20:14:53 PDT 2016,0
Viktor,2,6,4,Tue Sep 13 22:36:02 PDT 2016,0
Gnar,6,4,1,Tue Sep 13 21:43:09 PDT 2016,0
Twitch,9,5,5,Tue Sep 13 17:00:30 PDT 2016,0
Vladimir,3,4,9,Tue Sep 13 16:05:32 PDT 2016,0
Gangplank,5,2,9,Tue Sep 13 15:08:21 PDT 2016,0
Vladimir,4,2,7,Sun Sep 11 17:13:17 PDT 2016,1
Gangplank,8,6,14,Sat Sep 10 00:23:58 PDT 2016,0
Jax,1,8,6,Fri Sep 09 17:45:15 PDT 2016,0
Nasus,5,4,5,Fri Sep 09 17:01:17 PDT 2016,1
Lissandra,9,1,16,Fri Sep 09 15:52:04 PDT 2016,1
Fiora,0,5,1,Thu Sep 08 20:04:54 PDT 2016,0
Jax,4,1,2,Wed Sep 07 23:31:28 PDT 2016,1
Jinx,3,6,3,Tue Sep 06 22:12:40 PDT 2016,0
Jinx,5,5,8,Tue Sep 06 19:55:43 PDT 2016,1
Darius,3,4,2,Tue Sep 06 19:15:48 PDT 2016,0
Gangplank,8,3,9,Tue Sep 06 18:12:43 PDT 2016,1
Gangplank,5,2,13,Tue Sep 06 00:25:14 PDT 2016,1
Aurelion Sol,9,0,5,Mon Sep 05 23:45:21 PDT 2016,1
Fiora,2,9,1,Wed Jul 13 00:02:56 PDT 2016,0
Sivir,2,4,5,Mon May 30 00:49:11 PDT 2016,0
Taric,1,9,17,Sun May 29 23:44:36 PDT 2016,0
Maokai,3,3,6,Sat May 21 00:43:56 PDT 2016,0
Maokai,3,4,12,Sat Apr 30 22:20:05 PDT 2016,1
Karma,2,6,5,Thu Apr 28 00:23:03 PDT 2016,0
Caitlyn,8,2,10,Tue Apr 26 21:59:00 PDT 2016,1
Poppy,0,5,4,Thu Apr 21 20:03:06 PDT 2016,0
Taric,1,0,20,Thu Apr 21 18:36:53 PDT 2016,1
Jax,2,6,8,Thu Apr 21 00:16:30 PDT 2016,1
Graves,9,3,13,Wed Apr 20 23:20:14 PDT 2016,0
Taric,1,3,15,Wed Apr 20 21:39:18 PDT 2016,1
Poppy,4,1,4,Sun Apr 17 19:01:41 PDT 2016,1
Graves,5,6,11,Sun Apr 17 18:17:23 PDT 2016,1
Graves,5,1,2,Sun Apr 17 01:38:15 PDT 2016,1
Amumu,4,7,13,Sun Apr 17 00:47:09 PDT 2016,0
Graves,3,1,3,Thu Apr 14 17:03:26 PDT 2016,1
Ekko,5,9,4,Wed Apr 13 17:42:16 PDT 2016,0
Malphite,4,5,2,Tue Apr 12 00:40:15 PDT 2016,0
Sivir,5,3,7,Sun Apr 10 00:14:42 PDT 2016,0
Ekko,7,8,10,Fri Apr 08 22:26:59 PDT 2016,0
Ekko,13,0,11,Fri Apr 08 21:32:33 PDT 2016,1
Poppy,11,0,9,Mon Mar 28 19:48:59 PDT 2016,1
Sivir,9,4,9,Thu Mar 24 01:40:50 PDT 2016,0
Lucian,5,7,5,Tue Mar 22 01:33:24 PDT 2016,0
Fiora,14,1,9,Sat Mar 19 23:32:36 PDT 2016,1
Poppy,8,4,11,Sun Mar 13 00:19:10 PST 2016,0
Lucian,15,4,6,Sat Mar 12 17:14:11 PST 2016,0
Tristana,5,4,8,Wed Mar 09 18:21:25 PST 2016,0
Lucian,21,1,13,Wed Mar 09 17:20:48 PST 2016,1
Poppy,1,6,7,Mon Mar 07 21:03:22 PST 2016,0
Gnar,1,2,8,Mon Mar 07 20:24:06 PST 2016,0
Malphite,1,2,14,Mon Mar 07 19:02:15 PST 2016,1
Rammus,3,5,2,Mon Mar 07 18:25:07 PST 2016,0
