champ,kills,deaths,assists,date,outcome
Lee Sin,0,2,6,Sat Mar 25 17:15:31 PDT 2017,1
Nami,2,9,20,Sat Mar 25 16:34:05 PDT 2017,0
Thresh,1,5,13,Sat Mar 25 15:53:14 PDT 2017,1
Nami,0,4,15,Fri Mar 24 23:08:16 PDT 2017,0
Nami,2,2,14,Fri Mar 24 22:17:55 PDT 2017,1
Ahri,14,1,0,Fri Mar 24 00:08:24 PDT 2017,1
Ahri,5,1,3,Thu Mar 23 23:31:03 PDT 2017,1
Ahri,11,5,17,Thu Mar 23 22:41:04 PD T 2017,1
Nami,3,1,25,Thu Mar 23 21:58:44 PDT 2017,1
Syndra,0,1,0,Thu Mar 23 21:42:29 PDT 2017,0
Ahri,0,0,0,Thu Mar 23 21:33:05 PDT 2017,0
Nami,2,3,33,Thu Mar 23 20:21:52 PDT 2017,1
Ahri,6,9,19,Wed Mar 22 22:46:46 PDT 2017,1
Ahri,10,4,8,Wed Mar 22 22:05:21 PDT 2017,1
Vel'Koz,4,7,4,Fri Feb 03 14:11:51 PST 2017,0
Ezreal,5,8,6,Fri Dec 09 18:46:41 PST 2016,0
Braum,0,7,8,Fri Dec 09 18:10:00 PST 2016,0
Kennen,2,2,9,Fri Nov 04 15:56:26 PDT 2016,1
Braum,0,7,16,Sun Oct 30 22:38:06 PDT 2016,0
Rumble,3,7,7,Fri Oct 28 22:21:09 PDT 2016,0
Orianna,9,11,14,Wed Oct 26 01:28:34 PDT 2016,0
Syndra,0,0,1,Wed Oct 26 01:04:37 PDT 2016,1
Orianna,1,5,16,Sun Oct 23 22:22:41 PDT 2016,0
LeBlanc,8,4,7,Sun Oct 23 21:39:22 PDT 2016,0
Ekko,6,5,8,Sun Oct 23 20:30:04 PDT 2016,1
Nidalee,1,3,6,Sat Oct 22 00:14:25 PDT 2016,0
Orianna,3,6,1,Fri Oct 21 23:30:26 PDT 2016,0
Leona,0,4,3,Thu Oct 20 20:04:10 PDT 2016,0
Braum,2,4,22,Mon Oct 17 00:11:56 PDT 2016,1
Syndra,7,6,6,Sun Oct 16 23:31:13 PDT 2016,0
Lux,4,9,1,Sun Oct 16 22:56:19 PDT 2016,0
Orianna,12,1,8,Sun Oct 16 21:26:31 PDT 2016,1
Orianna,5,0,15,Fri Oct 14 21:15:45 PDT 2016,1
Vi,3,8,7,Sat Sep 24 02:33:31 PDT 2016,0
Orianna,2,9,9,Sat Sep 24 01:33:48 PDT 2016,0
Syndra,7,12,17,Sat Sep 17 19:44:23 PDT 2016,0
Syndra,14,10,16,Fri Sep 16 00:51:13 PDT 2016,1
Orianna,6,7,13,Thu Sep 15 23:32:07 PDT 2016,1
Thresh,3,7,7,Tue Sep 13 22:36:02 PDT 2016,0
Soraka,0,8,5,Tue Sep 13 21:43:09 PDT 2016,0
Soraka,0,8,27,Sun Sep 11 17:13:17 PDT 2016,1
Vi,7,7,17,Sat Sep 10 00:23:58 PDT 2016,0
Zac,2,3,5,Fri Sep 09 20:41:30 PDT 2016,0
Blitzcrank,3,9,19,Fri Sep 09 17:45:15 PDT 2016,0
Vi,5,3,9,Fri Sep 09 17:01:17 PDT 2016,1
Vi,5,2,17,Fri Sep 09 15:52:04 PDT 2016,1
Thresh,1,6,3,Thu Sep 08 20:04:54 PDT 2016,0
Blitzcrank,2,3,14,Thu Sep 08 19:18:04 PDT 2016,1
LeBlanc,6,2,2,Wed Sep 07 23:31:28 PDT 2016,1
Vel'Koz,2,8,5,Tue Sep 06 22:12:40 PDT 2016,0
