champ,kills,deaths,assists,date,outcome
LeBlanc,3,5,0,Mon Nov 07 21:39:43 PST 2016,0
Katarina,9,3,4,Mon Nov 07 20:30:50 PST 2016,0
Twisted Fate,6,1,4,Mon Nov 07 19:19:22 PST 2016,1
Morgana,7,5,10,Mon Nov 07 18:30:39 PST 2016,0
Orianna,5,10,2,Mon Nov 07 02:10:03 PST 2016,0
Irelia,14,4,6,Mon Nov 07 01:27:52 PST 2016,1
Katarina,17,10,8,Mon Nov 07 00:03:54 PST 2016,1
Vayne,11,2,2,Sun Nov 06 23:23:10 PST 2016,1
Cassiopeia,5,6,13,Sun Nov 06 22:03:30 PST 2016,0
Caitlyn,4,6,6,Sun Nov 06 21:23:48 PST 2016,0
Orianna,4,6,5,Sun Nov 06 20:44:01 PST 2016,0
Orianna,2,6,3,Sun Nov 06 20:06:59 PST 2016,0
Caitlyn,15,8,16,Sun Nov 06 15:13:35 PST 2016,1
Cassiopeia,7,4,6,Sat Nov 05 18:25:10 PDT 2016,0
Vayne,11,4,7,Sat Nov 05 17:44:41 PDT 2016,1
Ezreal,13,6,7,Sat Nov 05 17:03:07 PDT 2016,0
Orianna,10,4,12,Sat Nov 05 16:10:08 PDT 2016,1
Draven,6,2,6,Fri Nov 04 15:56:26 PDT 2016,1
Ashe,6,3,2,Fri Nov 04 12:59:32 PDT 2016,1
Ashe,16,6,9,Fri Nov 04 12:18:29 PDT 2016,1
Vayne,9,9,11,Fri Nov 04 10:05:57 PDT 2016,1
Cassiopeia,13,8,10,Fri Nov 04 09:14:18 PDT 2016,1
Orianna,18,5,13,Thu Nov 03 12:44:45 PDT 2016,1
Ezreal,5,6,11,Sun Oct 30 22:38:06 PDT 2016,0
Ezreal,11,9,17,Fri Oct 28 17:20:35 PDT 2016,1
Ezreal,9,10,10,Wed Oct 26 01:28:34 PDT 2016,0
Ezreal,1,0,0,Wed Oct 26 01:04:37 PDT 2016,1
