champ,kills,deaths,assists,date,outcome
Orianna,12,3,5,Thu Apr 20 10:43:05 PDT 2017,0
Orianna,12,3,10,Wed Apr 19 19:58:49 PDT 2017,1
Sion,8,8,12,Tue Apr 18 17:47:02 PDT 2017,0
Jarvan IV,0,7,4,Tue Apr 18 17:05:36 PDT 2017,0
Orianna,4,7,3,Mon Apr 17 23:11:24 PDT 2017,0
Lulu,0,3,17,Sun Apr 16 23:52:06 PDT 2017,1
Fiora,2,8,1,Sun Apr 16 16:52:22 PDT 2017,0
Orianna,4,4,15,Sun Apr 16 16:03:23 PDT 2017,1
Orianna,0,0,0,Sun Apr 16 15:50:48 PDT 2017,0
Orianna,11,5,6,Sun Apr 16 00:17:20 PDT 2017,1
Lulu,1,4,42,Sat Apr 15 22:02:23 PDT 2017,1
Vel'Koz,2,5,1,Sat Apr 15 17:40:34 PDT 2017,1
Cassiopeia,8,11,10,Fri Mar 31 22:54:04 PDT 2017,1
Lissandra,2,5,3,Sun Mar 26 01:57:04 PDT 2017,0
Lissandra,7,7,13,Sun Mar 26 01:12:20 PDT 2017,1
Shen,2,5,10,Sat Mar 25 23:00:54 PDT 2017,1
Lulu,0,3,20,Sat Mar 25 17:15:31 PDT 2017,1
Gragas,3,9,12,Sat Mar 25 16:34:05 PDT 2017,0
Ryze,8,3,9,Sat Mar 25 15:35:39 PDT 2017,1
Karma,4,10,13,Sun Mar 19 21:29:29 PDT 2017,0
Thresh,0,11,12,Fri Mar 17 21:58:28 PDT 2017,0
Cho'Gath,13,5,7,Sat Nov 05 23:40:36 PDT 2016,1
Zac,9,3,10,Sat Nov 05 22:52:17 PDT 2016,1
Shen,0,7,12,Sat Nov 05 18:25:10 PDT 2016,0
Orianna,23,4,11,Sat Nov 05 17:44:41 PDT 2016,1
Janna,2,6,17,Sat Nov 05 17:03:07 PDT 2016,0
Zac,3,3,21,Wed Oct 26 01:28:34 PDT 2016,0
Zac,0,0,0,Wed Oct 26 01:04:37 PDT 2016,1
Thresh,2,7,12,Sun Oct 23 01:57:21 PDT 2016,0
Cho'Gath,6,6,5,Tue Oct 11 23:47:59 PDT 2016,0
Karma,4,5,23,Sun Oct 02 03:26:42 PDT 2016,1
Karma,2,8,6,Sat Sep 24 02:33:31 PDT 2016,0
Orianna,1,6,15,Tue Sep 20 16:37:13 PDT 2016,0
Janna,0,2,15,Thu Sep 15 23:32:07 PDT 2016,1
Elise,7,8,5,Tue Sep 13 17:00:30 PDT 2016,0
Anivia,10,3,7,Sun Sep 11 17:13:17 PDT 2016,1
Shen,0,7,5,Thu Sep 01 21:29:16 PDT 2016,0
Anivia,2,0,7,Wed Jul 27 01:30:49 PDT 2016,1
Zac,3,5,15,Mon May 30 01:45:56 PDT 2016,1
