champ,kills,deaths,assists,date,outcome
Vayne,8,5,7,Tue Mar 28 01:36:39 PDT 2017,1
Vayne,5,9,10,Tue Mar 28 00:47:38 PDT 2017,1
Lucian,8,4,2,Mon Mar 27 23:53:22 PDT 2017,1
Kalista,0,5,1,Mon Mar 27 23:22:06 PDT 2017,0
Vayne,8,6,12,Mon Mar 27 00:58:31 PDT 2017,1
Vayne,16,3,3,Sat Mar 25 17:15:31 PDT 2017,1
Vayne,13,10,3,Sat Mar 25 16:34:05 PDT 2017,0
Vayne,12,3,1,Sat Mar 25 15:53:14 PDT 2017,1
Vayne,6,5,6,Sat Mar 25 01:15:54 PDT 2017,1
Caitlyn,2,7,1,Sat Mar 25 00:31:52 PDT 2017,0
Jinx,6,7,10,Wed Dec 07 10:38:02 PST 2016,1
Nami,2,0,5,Wed Dec 07 10:18:44 PST 2016,1
Jhin,3,9,3,Wed Dec 07 09:35:04 PST 2016,0
Thresh,1,0,1,Wed Dec 07 09:17:45 PST 2016,0
Gnar,1,8,8,Fri Dec 02 03:10:36 PST 2016,0
Riven,10,7,9,Tue Nov 22 07:29:51 PST 2016,1
Vayne,9,6,5,Mon Nov 14 03:00:19 PST 2016,0
Syndra,2,4,1,Mon Nov 14 02:29:21 PST 2016,0
Vayne,1,6,4,Sun Nov 13 04:33:33 PST 2016,0
Ezreal,14,4,12,Sun Nov 13 03:47:30 PST 2016,0
Twitch,5,2,9,Sun Nov 13 03:09:38 PST 2016,1
Riven,12,4,2,Sat Nov 12 02:43:08 PST 2016,1
Vayne,8,7,17,Sat Nov 12 01:58:01 PST 2016,1
Jhin,1,5,2,Sat Nov 12 01:23:56 PST 2016,0
Vayne,7,3,3,Sat Nov 12 00:46:16 PST 2016,1
Vayne,10,7,8,Fri Nov 11 04:05:43 PST 2016,1
Lux,4,12,3,Fri Nov 11 03:26:47 PST 2016,0
Ryze,12,9,10,Fri Nov 11 02:21:28 PST 2016,0
Vayne,1,4,5,Sun Oct 16 02:28:20 PDT 2016,0
Caitlyn,2,4,4,Sun Oct 16 01:21:13 PDT 2016,0
Jinx,0,6,0,Thu Oct 13 23:13:47 PDT 2016,0
Jhin,13,6,11,Sat Oct 08 21:06:32 PDT 2016,0
Syndra,14,8,7,Sat Oct 08 20:12:13 PDT 2016,0
Vayne,4,7,7,Sat Oct 08 19:29:06 PDT 2016,0
Vayne,13,9,5,Sat Oct 08 18:38:29 PDT 2016,1
Alistar,1,9,20,Sat Sep 17 02:37:31 PDT 2016,0
Soraka,0,4,23,Wed Sep 14 02:26:31 PDT 2016,1
Lucian,8,4,4,Mon Sep 12 18:52:55 PDT 2016,0
Jinx,5,6,9,Mon Sep 12 18:06:27 PDT 2016,0
Jinx,7,5,2,Mon Sep 12 17:28:38 PDT 2016,0
Braum,2,6,9,Sat Sep 10 20:02:12 PDT 2016,0
Soraka,0,0,0,Sat Sep 10 18:23:49 PDT 2016,1
Nami,0,2,2,Sat Sep 10 17:58:43 PDT 2016,0
Nami,1,2,28,Fri Sep 09 12:22:49 PDT 2016,1
Lulu,1,3,14,Tue Aug 16 22:04:38 PDT 2016,1
Leona,3,9,22,Wed Jul 20 09:43:52 PDT 2016,1
Soraka,1,8,8,Wed Jun 22 16:56:25 PDT 2016,0
Caitlyn,5,5,11,Wed Jun 22 16:08:59 PDT 2016,0
Nami,2,2,19,Wed Jun 22 15:29:58 PDT 2016,1
Soraka,1,3,26,Tue Jun 07 03:30:53 PDT 2016,1
Thresh,2,7,11,Wed May 11 15:34:51 PDT 2016,0
Janna,0,3,14,Thu Apr 14 15:24:01 PDT 2016,0
Caitlyn,10,6,3,Fri Mar 18 16:06:45 PDT 2016,1
Corki,8,3,6,Thu Feb 18 18:12:53 PST 2016,1
Leona,0,8,11,Thu Feb 18 17:22:26 PST 2016,0
Annie,4,6,2,Wed Feb 17 17:07:10 PST 2016,0
Lucian,0,5,4,Wed Feb 17 16:30:19 PST 2016,0
Jinx,2,2,4,Wed Feb 17 15:45:58 PST 2016,1
Soraka,0,4,5,Tue Feb 16 16:23:05 PST 2016,0
Thresh,3,1,16,Tue Feb 16 14:03:56 PST 2016,1
Lucian,9,9,14,Tue Feb 16 13:21:16 PST 2016,0
Ahri,1,3,5,Wed Feb 10 01:07:53 PST 2016,0
Ahri,7,4,13,Mon Feb 08 17:09:23 PST 2016,1
