champ,kills,deaths,assists,date,outcome
Thresh,2,8,17,Sun Mar 19 21:29:29 PDT 2017,0
Leona,0,5,6,Sun Mar 19 20:55:28 PDT 2017,1
Leona,2,2,1,Thu Jan 12 20:53:03 PST 2017,0
Thresh,2,4,21,Thu Jan 12 20:11:01 PST 2017,1
Thresh,1,4,22,Thu Jan 12 18:31:43 PST 2017,1
Leona,7,5,25,Thu Jan 12 17:43:50 PST 2017,1
Thresh,1,10,11,Thu Jan 12 16:55:03 PST 2017,0
Thresh,1,4,23,Thu Jan 05 14:13:22 PST 2017,1
Vayne,9,11,8,Thu Jan 05 13:19:18 PST 2017,0
Nautilus,1,0,4,Thu Jan 05 12:45:50 PST 2017,1
Caitlyn,2,7,5,Thu Jan 05 12:07:06 PST 2017,0
Ezreal,2,3,1,Thu Jan 05 11:29:36 PST 2017,0
Jinx,5,7,12,Sat Nov 05 00:57:38 PDT 2016,1
Lucian,2,3,2,Fri Oct 28 23:31:20 PDT 2016,0
Caitlyn,3,5,6,Fri Oct 28 02:47:14 PDT 2016,1
Vayne,11,6,11,Fri Oct 28 01:56:30 PDT 2016,1
Olaf,8,3,10,Mon Oct 17 00:11:56 PDT 2016,1
Malphite,2,3,6,Sun Oct 16 23:31:13 PDT 2016,0
Jinx,1,4,2,Sun Oct 16 22:56:19 PDT 2016,0
Jinx,10,4,3,Sun Oct 16 21:26:31 PDT 2016,1
Sejuani,6,5,6,Thu Oct 13 01:15:36 PDT 2016,0
Jinx,8,8,5,Thu Oct 13 00:26:19 PDT 2016,0
Sejuani,15,6,18,Wed Oct 12 00:24:43 PDT 2016,1
Olaf,3,6,3,Tue Oct 11 23:47:59 PDT 2016,0
Thresh,1,2,1,Mon Oct 10 21:29:58 PDT 2016,0
Sona,3,7,10,Sat Sep 24 02:33:31 PDT 2016,0
Alistar,2,6,12,Sat Sep 24 01:33:48 PDT 2016,0
Braum,2,5,18,Sat Sep 24 00:38:38 PDT 2016,1
Thresh,0,9,13,Fri Sep 23 23:56:15 PDT 2016,0
Gragas,1,7,5,Wed Sep 21 14:42:33 PDT 2016,0
Ezreal,7,5,17,Wed Sep 21 13:44:07 PDT 2016,1
Jinx,10,16,21,Wed Sep 21 12:30:38 PDT 2016,1
Ezreal,11,6,17,Fri Sep 16 00:51:13 PDT 2016,1
Ezreal,4,1,6,Mon Sep 05 23:45:21 PDT 2016,1
Katarina,14,5,6,Mon Sep 05 02:27:37 PDT 2016,1
Lucian,8,5,3,Thu Sep 01 21:29:16 PDT 2016,0
Wukong,9,4,7,Wed Jul 13 00:02:56 PDT 2016,0
Olaf,1,2,0,Mon Jul 11 23:56:46 PDT 2016,0
Sejuani,2,5,8,Mon Jul 11 23:02:15 PDT 2016,0
Elise,4,11,8,Sat Apr 30 15:02:00 PDT 2016,0
Twitch,2,11,1,Tue Apr 12 00:40:15 PDT 2016,0
Sejuani,4,5,7,Sun Apr 10 00:14:42 PDT 2016,0
Sejuani,4,6,12,Thu Mar 24 01:40:50 PDT 2016,0
Alistar,3,2,23,Sat Mar 19 23:32:36 PDT 2016,1
Syndra,2,3,2,Wed Mar 02 20:45:26 PST 2016,0
Corki,9,7,9,Sun Feb 21 01:01:32 PST 2016,1
Ezreal,5,5,6,Sun Feb 21 00:07:48 PST 2016,0
Nautilus,2,5,7,Sun Feb 14 02:25:23 PST 2016,0
Alistar,0,4,11,Sat Feb 06 00:03:24 PST 2016,0
Jarvan IV,0,4,3,Fri Feb 05 22:54:04 PST 2016,0
Vi,3,5,8,Sun Jan 31 21:13:24 PST 2016,1
Gragas,0,4,10,Sun Jan 31 20:32:28 PST 2016,0
Nautilus,6,5,14,Sun Jan 31 18:34:04 PST 2016,1
Wukong,6,9,14,Sun Jan 31 17:24:57 PST 2016,0
Hecarim,4,11,6,Sat Jan 30 20:20:27 PST 2016,0
Sejuani,1,3,4,Fri Jan 29 21:25:20 PST 2016,0
Nautilus,2,7,9,Fri Jan 29 20:09:13 PST 2016,0
Nautilus,1,1,9,Fri Jan 29 19:22:28 PST 2016,1
Wukong,4,3,15,Fri Jan 29 18:15:29 PST 2016,1
Sejuani,0,6,12,Thu Jan 28 21:30:56 PST 2016,0
Gragas,2,6,7,Thu Jan 28 20:27:43 PST 2016,0
Nautilus,5,1,2,Thu Jan 28 19:07:00 PST 2016,1
