champ,kills,deaths,assists,date,outcome
Riven,5,6,3,Fri Mar 24 23:08:16 PDT 2017,0
Lee Sin,5,6,8,Tue May 24 15:53:15 PDT 2016,1
Poppy,2,10,7,Tue May 24 14:39:42 PDT 2016,0
Lee Sin,4,3,2,Tue May 24 01:49:06 PDT 2016,0
Ekko,14,3,21,Mon May 23 23:35:07 PDT 2016,1
Thresh,1,10,16,Mon May 23 22:19:29 PDT 2016,0
Thresh,4,4,11,Mon May 23 17:52:11 PDT 2016,1
Poppy,3,5,6,Mon May 23 16:51:17 PDT 2016,0
Thresh,2,4,21,Mon May 23 11:53:39 PDT 2016,1
Ekko,7,7,4,Fri May 06 19:05:41 PDT 2016,0
Azir,4,13,6,Fri May 06 18:14:13 PDT 2016,0
Thresh,1,5,4,Thu May 05 23:17:24 PDT 2016,0
Blitzcrank,3,3,4,Thu May 05 22:12:36 PDT 2016,1
Vel'Koz,1,4,12,Wed May 04 19:15:05 PDT 2016,1
Thresh,5,9,30,Wed May 04 14:59:24 PDT 2016,1
Ekko,9,4,4,Wed Apr 06 15:19:54 PDT 2016,1
Ekko,3,9,6,Thu Mar 31 15:39:11 PDT 2016,0
LeBlanc,5,4,5,Thu Mar 31 14:54:04 PDT 2016,0
Ekko,10,1,6,Wed Mar 30 18:28:01 PDT 2016,1
Azir,11,10,11,Wed Mar 30 17:15:47 PDT 2016,1
Malphite,6,8,9,Wed Mar 30 14:39:18 PDT 2016,0
Poppy,13,3,7,Tue Mar 29 22:28:15 PDT 2016,1
Ekko,8,3,14,Tue Mar 29 20:58:25 PDT 2016,1
Ekko,7,7,5,Mon Mar 28 19:15:01 PDT 2016,0
Riven,5,7,6,Mon Mar 28 18:25:06 PDT 2016,0
Zed,10,6,6,Mon Mar 21 16:49:00 PDT 2016,0
Riven,2,5,5,Sun Mar 20 11:05:19 PDT 2016,0
Riven,5,7,6,Sat Mar 19 16:05:57 PDT 2016,0
Riven,3,6,4,Sat Mar 19 15:10:00 PDT 2016,0
Riven,17,9,8,Sat Mar 19 12:46:32 PDT 2016,1
Thresh,2,6,14,Sat Mar 19 00:45:59 PDT 2016,0
Poppy,6,5,1,Sat Mar 19 00:01:40 PDT 2016,0
Poppy,2,4,11,Fri Mar 18 23:00:34 PDT 2016,0
Poppy,2,8,14,Fri Mar 18 19:31:19 PDT 2016,0
Thresh,0,4,2,Fri Mar 18 18:58:59 PDT 2016,0
LeBlanc,7,3,1,Fri Mar 18 18:18:51 PDT 2016,1
Poppy,3,5,9,Fri Mar 18 17:26:48 PDT 2016,0
LeBlanc,10,4,5,Wed Mar 16 17:56:08 PDT 2016,0
Thresh,2,7,4,Wed Mar 16 15:12:39 PDT 2016,0
Thresh,2,3,20,Wed Mar 16 14:23:29 PDT 2016,1
LeBlanc,9,4,2,Wed Mar 16 13:37:41 PDT 2016,0
Thresh,2,8,24,Sun Mar 13 20:21:06 PDT 2016,0
LeBlanc,13,4,7,Sun Mar 13 19:06:06 PDT 2016,1
LeBlanc,4,5,8,Sun Mar 13 17:12:17 PDT 2016,0
Thresh,3,4,10,Sun Mar 13 16:21:53 PDT 2016,0
Thresh,2,4,16,Sun Mar 13 15:01:58 PDT 2016,1
Thresh,4,2,4,Sun Mar 13 14:04:58 PDT 2016,1
Thresh,1,1,8,Sun Mar 13 00:34:48 PST 2016,1
Thresh,3,4,22,Sat Mar 12 16:13:16 PST 2016,0
Thresh,1,0,20,Sat Mar 12 11:57:40 PST 2016,1
Thresh,3,1,13,Sat Mar 12 11:06:27 PST 2016,1
LeBlanc,6,5,1,Mon Feb 29 17:47:17 PST 2016,0
Thresh,1,7,15,Mon Feb 29 16:54:12 PST 2016,0
LeBlanc,6,3,6,Mon Feb 29 16:09:23 PST 2016,1
LeBlanc,4,4,3,Sat Feb 20 11:09:02 PST 2016,0
Thresh,2,3,6,Fri Feb 19 13:37:55 PST 2016,0
Thresh,2,3,20,Fri Feb 19 12:31:40 PST 2016,1
Poppy,3,4,11,Fri Feb 19 11:24:04 PST 2016,0
LeBlanc,16,9,10,Tue Feb 16 15:04:46 PST 2016,1
Malphite,3,5,6,Tue Feb 16 12:35:53 PST 2016,0
Thresh,2,0,5,Mon Feb 15 13:12:07 PST 2016,0
Blitzcrank,1,7,11,Mon Feb 15 12:13:31 PST 2016,0
Janna,1,2,16,Sat Feb 13 20:53:09 PST 2016,1
LeBlanc,14,6,8,Sat Feb 13 19:37:48 PST 2016,1
Thresh,0,5,29,Sat Feb 13 05:04:47 PST 2016,1
LeBlanc,20,8,10,Sat Feb 13 03:47:40 PST 2016,1
Thresh,0,6,5,Thu Feb 11 12:41:17 PST 2016,0
Thresh,2,9,11,Thu Feb 11 11:54:26 PST 2016,0
LeBlanc,12,5,10,Wed Feb 10 19:52:22 PST 2016,1
Thresh,1,6,5,Wed Feb 10 18:26:42 PST 2016,0
Soraka,0,7,6,Wed Feb 10 17:25:06 PST 2016,0
Blitzcrank,2,3,4,Wed Feb 10 16:46:31 PST 2016,0
Blitzcrank,5,4,13,Wed Feb 10 15:52:23 PST 2016,0
Thresh,1,5,9,Tue Feb 09 12:02:01 PST 2016,0
Blitzcrank,0,3,20,Mon Feb 08 17:20:06 PST 2016,1
Syndra,4,6,4,Mon Feb 08 16:41:23 PST 2016,0
Thresh,1,7,13,Mon Feb 08 15:52:20 PST 2016,0
Thresh,2,7,18,Mon Feb 08 14:56:08 PST 2016,1
Syndra,4,7,6,Sun Feb 07 20:26:19 PST 2016,0
Zed,5,3,3,Sun Feb 07 19:56:20 PST 2016,1
Thresh,1,5,14,Sun Feb 07 17:02:52 PST 2016,1
Blitzcrank,1,1,11,Sun Feb 07 15:02:15 PST 2016,1
Thresh,0,1,10,Sun Feb 07 13:59:49 PST 2016,1
Syndra,3,6,9,Sun Feb 07 13:16:34 PST 2016,0
